,times,herf,author,content,share_num,pingllun_num,dianzan_num
10,04月01日 22:13,https://weibo.com/3179662875/MA15cjj5t?refer_flag=1001030103_,塔山不是山,一架巴基斯坦 F-16 部署到土耳其进行联合空战演习。#军事##武器装备##军事历史全触达#​,0,0,0
11,04月01日 22:12,https://weibo.com/6490045001/MA14sblDX?refer_flag=1001030103_,源艺晶_曜源,他/她/它们说，让你们尽早决定，要么小祖宗曜源带着大高个子森凯、图坦卡蒙、妈祖林默，去蒙古国。要么你们重新买妃、选（fei）妃。土家苗族、印度黄种人，这次根本就没打算让土耳其印度王昭君去蒙古国，所以，疫情时让小祖宗曜源发布的婚姻保证录，这些人早就故意设计了。道教、武当这次真的是彻底掉坑里去了。别人就是要争夺军权、军警权、警察权。日、韩、朝、台，根本没有优势，不仅美国在疫情时和尼泊尔签定合约，印度和俄罗斯也是大量经济、石油交易，川庆渝、北方国、党内，尽然还为管控、控制小祖宗曜源高兴庆祝，还以为英国、美国、俄罗斯、德国站在你们这边。收起d, 1,0,0
12,04月01日 22:05,https://weibo.com/7097159940/MA11MmNgN?refer_flag=1001030103_,土剧迷fan,土耳其剧😍#hafsanursancaktutan#Hafsanur​,0,0,9
13,04月01日 22:04,https://weibo.com/5501440086/MA11vxdB9?refer_flag=1001030103_,铁戈飞马,发布了头条文章：《土耳其一锤定音，芬兰正式加入北约，俄罗斯与北约边境线又挨到了一块》O土耳其一锤定音，芬兰正式加入北约，俄罗斯与北约边境线又挨到了一块​,0,0,0
14,04月01日 22:04,https://weibo.com/7097159940/MA11fzPG5?refer_flag=1001030103_,土剧迷fan,土耳其剧#neslihanatagul##土剧迷fan#​,0,0,12
15,04月01日 22:03,https://weibo.com/6490045001/MA113dxMy?refer_flag=1001030103_,源艺晶_曜源,他/她/它们说，土家苗族、印度人、川庆渝、道教、京津冀……就是要让小祖宗曜源死，这样土耳其印度王昭君就可以早点离开。所以，才会让人那么使劲伤害小祖宗曜源，逼死小祖宗曜源，盼着小祖宗曜源死。之前的选（fei）妃也是靠害死别人来办的。只不过，这次的选（fei）妃，小祖宗曜源一下选了三个，所以，去蒙古国的，成了小祖宗曜源、大高个子森凯、图坦卡蒙、妈祖林默 。收起d,0,0,0
16,04月01日 21:56,https://weibo.com/2053078342/MA0YdETKM?refer_flag=1001030103_,如是说---,#辰山植物园的春天##植物拍摄记录#Ipheion uniflorum'Jessie' 杰西卡花韭（春星韭属石蒜科）春星韭 Ipheion uniflorum原产阿根廷和乌拉圭Tulipa humilis 'Little Beauty' （小美女矮花郁金香）矮花郁金香 Tulipa humilis分布叙利亚、黎巴嫩、以色列、土耳其、伊朗和俄罗斯北高加索地区。名称可能有误，欢迎老师们鉴别收起d, 10, 13,12
17,04月01日 21:49,https://weibo.com/3850843820/MA0VckxdZ?refer_flag=1001030103_,早日毕业环游世界,伊斯坦布尔📍纯真博物馆“土耳其人民在自己的博物馆里，应该欣赏自己的人生，而不是西方绘画的蹩脚的模仿。我们的博物馆应该展示我们的生活，而不是我们的有钱人感觉自己是个西方人的幻想。”“我要用我的博物馆不仅让土耳其人民，还要让全世界人民学会，要以我们经历的人生为荣。我在外面看到，当西方人在骄傲地生活时，世界上的大多数人则在羞愧中生活。而事实上，如果能在一个博物馆里展出我们人生中那些令人羞愧的东西，那么它们就会立刻变成令人骄傲的东西。”奥尔罕·帕慕克《纯真博物馆》*带着电子书也能免费参观，亲测有效。收起d,0,0,1
18,04月01日 21:48,https://weibo.com/1863467124/MA0UP2hfW?refer_flag=1001030103_,桑亚平v,手工地毯如果说波斯地毯的代名词是精密优雅，那么土耳其地毯的代名词便是时尚超前。这条地毯为典型土耳其风格，设计简约干净，又不失高级感。在搭配方面容错率也很高，无论是复古宫廷风还是现代风都能轻松驾驭。#波斯地毯##土耳其地毯#​,0,0,1
19,04月01日 21:43,https://weibo.com/2851735367/MA0T3nkUa?refer_flag=1001030103_,紫香金港,找到一个清净地儿喝咖啡和吃土耳其料理。柠檬饮料少少甜都非常甜。 ​,0,0,0
20,04月01日 21:43,https://weibo.com/3970333582/MA0T0r7wd?refer_flag=1001030103_,周夢良同学,外网上有一则关于中国的话题，美国网友正确解读，烂棒子却一如既往地“宇宙第一”的心理，结果没想到被土耳其网友一记绝杀！ ​,0,0,1
21,04月01日 21:40,https://weibo.com/1867570032/MA0RG1Ttw?refer_flag=1001030103_,樱桃小圆子咦啊咦啊呦,我跟土耳其八字不合 ​,0,0,0
22,04月01日 21:38,https://weibo.com/3159073713/MA0QN344y?refer_flag=1001030103_,四时馋院,将烹制好的牛肉或者鸡肉碎加上洋葱西红柿欧芹等各种配料，再卷入面皮或者夹进面包里，就是土耳其的街头小吃tantuni啦，有一点点像我们的肉夹馍呢！看起来很好吃的样子L四时馋院的微博视频​,0,0,0
23,04月01日 21:36,https://weibo.com/2884512360/MA0QcpxWK?refer_flag=1001030103_,李東秦Oysocean,32酿造的秋天把脚踏进暗红的河流喝波特酒把秋天喝个精光土耳其内陆黄金 橄榄林偶尔下起玫瑰雨阳光灿烂如剑起舞吧！起舞！狄俄尼索斯在风的原野#李東秦 牡蛎#​, 1, 3,10
24,04月01日 21:36,https://weibo.com/6296012395/MA0Q0gvho?refer_flag=1001030103_,猪霸苍穹,土耳其 Bayraktar AKINCI无人机 搭载的 IHA 230 超音速导弹。#微博公开课##致这个动荡的世界#L猪霸苍穹的微博视频​,0, 1,1
25,04月01日 21:34,https://weibo.com/2646058397/MA0P9FzlS?refer_flag=1001030103_,鱼丸不要粗面11,世界女排新闻资讯#头号博主说##体育##土耳其女排联赛#时隔近两个月，女士伤愈复出后的第一次首发登场。L鱼丸不要粗面11的微博视频​, 1, 6,60
26,04月01日 21:32,https://weibo.com/6382530192/MA0OhB6bX?refer_flag=1001030103_,我一定会越来越好一定会,土耳其求靠谱代购想买点东西！ ​,0,0,1
27,04月01日 21:30,https://weibo.com/2646058397/MA0NCwIo7?refer_flag=1001030103_,鱼丸不要粗面11,世界女排新闻资讯#体育##头号博主说##土耳其女排联赛#2022-2023赛季土耳其🇹🇷女排联赛常规赛第二十二轮，费内巴切3-0库库罗瓦(25-17 25-17 25-15)。费内巴切队:费多洛夫塞娃24扣13中，1失误1被拦，0拦9发，22分瓦尔加斯19扣10中，1失误2被拦，2拦1发，13分武奇科娃9扣7中，0失误0被拦，3拦0发，10分艾达6扣5中，0失误0被拦，2拦0发，7分A.拉扎列娃8扣4中，1失误1被拦，0拦0发，4分梅里哈8扣3中，1失误0被拦，1拦0发，4分卡拉奇2扣1中，0失误1被拦，2拦0发，3分乌纳尔1拦0发，1分库库罗瓦队:莱科柳科37扣12中，2失误7被拦，1拦0发，13分哈尔琴科7扣4中，0失误1被拦，2拦0发，6分拉佐维奇12扣4中，0失误1被拦，0拦0发，4分奥纳尔8扣3中，0失误1被拦，0拦2发，5分哈扎尔6扣3中，2失误0被拦，1拦1发，5分大菠菜蒂6扣2中，0失误0被拦，0拦0发，2分萨格巴斯2扣1中，0失误0被拦，1拦0发，2分多玛克2扣0中，0失误1被拦，0拦0发，0分杜泽勒0拦1发，1分扣球得分:费内巴切43-29库库罗瓦拦网得分:费内巴切11-5库库罗瓦发球得分:费内巴切10-4库库罗瓦一传到位率:费内巴切43%-45%库库罗瓦一传完美到位率:费内巴切30%-27%库库罗瓦自失送分:费内巴切11-11库库罗瓦收起d, 7, 24,111
28,04月01日 21:27,https://weibo.com/1875954151/MA0Mx9tcZ?refer_flag=1001030103_,BSorcerer,竟然在《金爆行动》发现了Kaan好帅土耳其剧​,0,0,2
29,04月01日 21:25,https://weibo.com/5666690959/MA0Lv4oyv?refer_flag=1001030103_,黄靖翔的小子月,黄靖翔真的好喜欢土耳其的灯以及欧洲风格又想见小才的一天 ​,0,0,0
30,04月01日 21:22,https://weibo.com/2151104761/MA0KcFGLR?refer_flag=1001030103_,郑芝麻乌啦啦,土耳其风味初尝试，碳水带给人的幸福感太强了烤羊小腿嘎嘎带劲，南瓜派也香喷喷的，下次试试隔壁的伊朗饭店巧克力冰激凌真的太惊艳了，无论是味道还是口感都很完美，除了贵没别的不好，wst说价格贵不是冰激凌的缺点，而是我俩的​,0,0,6
31,04月01日 21:20,https://weibo.com/6400188271/MA0JJonXa?refer_flag=1001030103_,只有半个小胡,两小时内义乌打卡了两家土耳其菜  真没中国菜好吃​,0,0,0
