,times,herf,author,content,share_num,pingllun_num,dianzan_num
20,04月01日 19:55,https://weibo.com/7797133778/MA0b3mcfg?refer_flag=1001030103_,草篷篷子,公共媒体越来越多的报道出来明星的私生活也好还是社会新闻也好，对于大众都是有警示作用的。我一直觉得自从2019年后开始的明星之间的八卦新闻开始越来越撕开遮羞布，狗仔有时候不需要跟踪或者是长时间的蹲点儿，爆料一直有，秘密总会吹过森林，从事故发生到被报道出来的时效也变短，两三年前的是都会被很快爆出来。现在可以明确的两点是，一是大多数男性艺人背后会有不符合大众表面展示出来的一面，无论是人设也好或者是他们自身的感情观也好，所以男艺人也就可远观不可近瞧，远看哇哇好近看臭兮兮。二是对于自身权益的保护，隐私，或者是一言一行都最好不要被挑出大事，被损害权益做好备份。收起d,0,0,0
21,04月01日 19:45,https://weibo.com/7303184508/MA07a1Jkh?refer_flag=1001030103_,莫兮息颜颜,#成龙说现在没有真正的功夫明星了#不要说有功夫的明星，即使没有明星，没有电视剧电影我都无所谓 ​​​，明星对于我来说只是茶余饭后的八卦 ​​​，刷普通人拍的短视频比较快乐 ​,0,0,0
22,04月01日 19:32,https://weibo.com/6424767339/MA01OnwgH?refer_flag=1001030103_,追豆小王,某Z姓老艺术家人设崩塌，曾为小三闹离婚，跟小四有私生女  明星八卦  爆料L追豆小王的微博视频​,0,0,0
23,04月01日 19:16,https://weibo.com/6424767339/MzZV5dVEg?refer_flag=1001030103_,追豆小王,某Z姓老艺术家人设崩塌，曾因小三怀孕跟老婆闹离婚  明星八卦  爆料L追豆小王的微博视频​,0,0,0
24,04月01日 19:15,https://weibo.com/3241973795/MzZUZyI23?refer_flag=1001030103_,duxingzheing,内娱不就是你撕我我撕你看了十几分的八卦 看到好多明星的站姐被开除了粉籍，玩不起就别玩啊，无语子 ​,0,0,0
25,04月01日 18:54,https://weibo.com/2624945784/MzZMtcg32?refer_flag=1001030103_,长春一条,张继科的债务以及视频问题，并不简简单单是明星们的“八卦”，而是由此引发了一桩严重的刑事案件。在这桩案件里，景女士是完全的受害人。向她“要钱”的张继科的债主，该人后来也认罪，并且依然在服刑中。而张继科在这桩案件中扮演了什么角色，他自己能否来公开予以回应？ ​​​,0,0,1
26,04月01日 18:52,https://weibo.com/2305796883/MzZLkmEKz?refer_flag=1001030103_,雪华影视,女明星不进组就是怀孕，八卦靠第七感随便造谣，谢谢有被无语到 迪丽热巴 狗仔爆料迪丽热巴L雪华影视的微博视频​,0,0,1
27,04月01日 18:50,https://weibo.com/5165512998/MzZKrC96p?refer_flag=1001030103_,幽默娱快,八卦真娱快：内娱男明星肖战、王一博、吴磊、杨洋、张艺兴、许凯、李现、成毅、王鹤棣，你觉得哪位明星身材锻炼不错？ …… ​,0,0,0
28,04月01日 18:00,https://weibo.com/1278702193/MzZqnnEey?refer_flag=1001030103_,开心喵了的喵儿,上热搜的明星八卦好无聊… ​,0, 3,0
29,04月01日 17:38,https://weibo.com/1821078595/MzZhq5AqI?refer_flag=1001030103_,小阿塔,用魔法打败现实的套路，真是笑发财了 微博放映厅 鑫仔 超好笑元宵夜 综艺微博明星势力榜#f1八卦新闻##综艺最爆点#L小阿塔的微博视频​,0,0,0
